N_Contact;Date;Agent_ID;Durée_Traitement_Sec;Status;Note_Satisfaction_Client;Montant Facture;Canal;Sujet;Appel traité;Appel repris;Conforme;NPS;Réclamation
CNT-71090;11/07/2023;AG001;196;Résolu;5;25,83;Téléphone;Facturation;Oui;Non;Oui;;Non
CNT-71091;08/01/2023;AG007;288;Résolu;;47,63;Téléphone;Changement d'offre;Oui;Non;Oui;1;Non
CNT-71092;01/02/2023;AG004;288;Résolu;3;11,33;Chat;Réclamation;Oui;Non;Non;9;Non
CNT-71093;26/08/2023;AG006;256;Résolu;2;38,43;Réseaux Sociaux;Résiliation;Non;Non;Non;;Non
CNT-71094;03/08/2023;AG007;261;Résolu;;48,8;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
CNT-71095;08/07/2023;AG003;529;En Attente;4;14,32;Chat;Facturation;Oui;Non;Oui;;Non
CNT-71096;24/09/2023;AG008;291;Résolu;;19,62;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;8;Non
CNT-71097;05/06/2023;AG002;324;En Attente;;45,97;Email;Relevé compteur;Oui;Non;Non Renseigné;8;Non
CNT-71098;26/09/2023;AG001;389;En Attente;5;24,94;Téléphone;Réclamation;Non;Non;Oui;10;Non
CNT-71099;03/01/2023;AG008;230;En Attente;5;43,89;Téléphone;Relevé compteur;Oui;Non;Oui;8;Non
CNT-71100;18/12/2023;AG004;164;Résolu;4;35,64;Téléphone;Demande d'information;Oui;Non;Oui;;Non
CNT-71101;07/08/2023;AG002;296;Non Résolu;5;16,85;Chat;Souscription contrat;;Non;Oui;6;Non
CNT-71102;26/07/2023;AG001;140;Résolu;5;9,9;Téléphone;Demande d'information;Oui;Oui;Non Renseigné;7;Non
CNT-71103;16/01/2023;AG001;228;En Attente;4;17,69;Téléphone;Déménagement;Oui;Non;Oui;10;Oui
CNT-71104;09/02/2023;AG004;116;Résolu;4;29,56;Email;Réclamation;Oui;Non;Oui;8;Non
CNT-71105;17/06/2023;AG008;542;Résolu;4;19,16;Téléphone;Panne compteur;Non;Non;Non;;Non
CNT-71106;03/09/2023;AG004;374;Résolu;3;23,68;Email;Litige paiement;Oui;Non;Oui;9;Non
CNT-71107;08/11/2023;AG008;363;Résolu;5;;Téléphone;Relevé compteur;Oui;Non;Oui;6;Non
CNT-71108;07/07/2023;AG004;291;Non Résolu;4;38,23;Réseaux Sociaux;Demande d'information;Oui;Non;Oui;;Non
CNT-71109;28/03/2023;AG007;344;En Attente;;20,37;Chat;Litige paiement;Oui;Non;Oui;;Non
CNT-71110;22/01/2023;AG008;246;Non Résolu;5;24,34;Chat;Panne compteur;;Oui;Non;10;Oui
CNT-71111;29/10/2023;AG003;271;Non Résolu;4;36,11;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;4;Non
CNT-71112;24/12/2023;AG003;351;Non Résolu;5;14,75;Téléphone;Litige paiement;Oui;Non;Oui;;Non
CNT-71113;18/06/2023;AG001;298;Non Résolu;5;26,63;Chat;Réclamation;Oui;Non;Oui;;Oui
CNT-71114;28/06/2023;AG003;237;En Attente;4;9,62;Chat;Facturation;Oui;Oui;Oui;9;Non
CNT-71115;23/04/2023;AG006;178;Non Résolu;5;45,83;Chat;Résiliation;Oui;Non;Non;8;Non
CNT-71116;27/06/2023;AG009;378;En Attente;3;11,46;Email;Relevé compteur;Oui;Non;Oui;2;Non
CNT-71117;24/05/2023;AG007;269;En Attente;4;18,33;Téléphone;Réclamation;Oui;Oui;Oui;8;Non
CNT-71118;29/09/2023;AG006;192;Non Résolu;3;41,92;Email;Panne compteur;Oui;Non;Oui;4;Non
CNT-71119;19/04/2023;AG008;116;Résolu;;24,85;Téléphone;Demande d'information;Oui;Non;Non;;Non
CNT-71120;03/01/2023;AG009;271;En Attente;5;27,24;Téléphone;Litige paiement;Oui;Non;Oui;7;Oui
CNT-71121;05/04/2023;AG005;241;Non Résolu;5;38,77;Email;Souscription contrat;Oui;Non;Oui;9;Non
CNT-71122;02/08/2023;AG003;179;Non Résolu;5;14,86;Téléphone;Relevé compteur;Oui;Non;Oui;8;Non
CNT-71123;22/03/2023;AG005;;Résolu;5;39,97;Email;Litige paiement;Oui;Non;Non;;Oui
CNT-71124;04/11/2023;AG004;180;Résolu;4;12,17;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;;Non
CNT-71125;22/10/2023;AG004;404;Résolu;4;9,5;Réseaux Sociaux;Changement d'offre;Oui;Non;Oui;10;Non
CNT-71126;28/02/2023;AG003;216;Résolu;4;13,98;Téléphone;Réclamation;Non;Non;Oui;8;Non
CNT-71127;02/08/2023;AG004;114;Non Résolu;4;13,28;Téléphone;Souscription contrat;Oui;Non;Oui;2;Non
CNT-71128;21/08/2023;AG003;279;Résolu;4;47,31;Chat;Relevé compteur;Non;Non;Oui;7;Non
CNT-71129;02/03/2023;AG008;349;Résolu;;23,18;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;;Non
CNT-71130;09/08/2023;AG009;155;Résolu;5;34,35;Email;Résiliation;Oui;Non;Oui;6;Non
CNT-71131;15/07/2023;AG008;322;En Attente;5;14,31;Réseaux Sociaux;Souscription contrat;Oui;Oui;Non Renseigné;;Non
CNT-71132;13/10/2023;AG004;336;En Attente;3;22,69;Réseaux Sociaux;Déménagement;Oui;Non;Oui;;Non
CNT-71133;20/06/2023;AG005;269;Résolu;5;22,44;Chat;Relevé compteur;Oui;Non;Oui;9;Non
CNT-71134;21/11/2023;AG002;419;Résolu;4;32,2;Réseaux Sociaux;Déménagement;Oui;Non;Oui;7;Non
CNT-71135;14/11/2023;AG007;183;Non Résolu;5;46,94;Réseaux Sociaux;Changement d'offre;Non;Non;Non Renseigné;;Non
CNT-71136;05/05/2023;AG001;159;Résolu;3;29,93;Email;Déménagement;Non;Non;Oui;6;Non
CNT-71137;23/09/2023;AG002;206;Résolu;;29,71;Email;Panne compteur;Oui;Non;Oui;7;Non
CNT-71138;05/08/2023;AG003;;Non Résolu;;25,73;Chat;Réclamation;Oui;Non;Oui;7;Non
CNT-71139;28/10/2023;AG003;221;En Attente;4;25,76;Réseaux Sociaux;Litige paiement;yes;Non;Oui;;Non
CNT-71140;06/06/2023;AG003;174;Non Résolu;3;9,18;Email;Panne compteur;Oui;Non;Non Renseigné;0;Non
CNT-71141;04/06/2023;AG001;215;En Attente;4;48,78;Réseaux Sociaux;Souscription contrat;Non;Non;Non Renseigné;;Non
CNT-71142;29/06/2023;AG008;257;Résolu;5;49,8;Réseaux Sociaux;Litige paiement;Oui;Non;Non;10;Non
CNT-71143;01/09/2023;AG003;329;Non Résolu;5;;Chat;Souscription contrat;Oui;Non;Non Renseigné;9;Non
CNT-71144;09/04/2023;AG002;209;Résolu;4;13,83;Email;Résiliation;Non;Non;Oui;;Non
CNT-71145;24/01/2023;AG005;280;En Attente;4;46,56;Téléphone;Litige paiement;Oui;Non;Oui;6;Non
CNT-71146;16/04/2023;AG006;364;Résolu;5;45,83;Téléphone;Souscription contrat;Oui;Non;Oui;9;Non
CNT-71147;15/05/2023;AG009;299;En Attente;;;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;9;Non
CNT-71148;17/03/2023;AG004;198;En Attente;4;16,72;Chat;Relevé compteur;Oui;Non;Oui;;Non
CNT-71149;16/06/2023;AG009;252;Résolu;;11,73;Chat;Réclamation;Oui;Non;Oui;5;Non
CNT-71150;22/03/2023;AG004;223;Non Résolu;4;13,85;Email;Facturation;Oui;Non;Non Renseigné;;Non
CNT-71151;19/12/2023;AG006;133;Résolu;3;15,84;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;10;Non
CNT-71152;13/10/2023;AG001;62;Non Résolu;4;28,17;Email;Réclamation;Oui;Non;Oui;6;Non
CNT-71153;23/11/2023;AG007;193;Résolu;4;26,6;Email;Réclamation;;Non;Non;;Non
CNT-71154;18/01/2023;AG005;314;En Attente;4;13,42;Email;Résiliation;Oui;Non;Oui;;Non
CNT-71155;08/08/2023;AG003;278;En Attente;4;13,07;Réseaux Sociaux;Réclamation;Non;Non;Oui;6;Non
CNT-71156;11/08/2023;AG007;262;Résolu;4;40,42;Téléphone;Panne compteur;Oui;Non;Non;8;Non
CNT-71157;27/02/2023;AG006;378;En Attente;;17,83;Téléphone;Réclamation;Oui;Non;Oui;5;Non
CNT-71158;21/04/2023;AG006;179;Résolu;5;45,71;Téléphone;Changement d'offre;Oui;Oui;Oui;;Non
CNT-71159;17/10/2023;AG001;287;En Attente;4;41,49;Téléphone;Litige paiement;Oui;Non;Non Renseigné;;Non
CNT-71160;31/01/2023;AG007;221;Non Résolu;;18,12;Réseaux Sociaux;Souscription contrat;Non;Non;Oui;;Non
CNT-71161;12/08/2023;AG005;291;En Attente;5;32,66;Téléphone;Déménagement;Oui;Non;Oui;8;Non
CNT-71162;24/01/2023;AG007;344;Résolu;;33,93;Email;Résiliation;Oui;Non;Non Renseigné;1;Non
CNT-71163;12/01/2023;AG008;136;Résolu;4;13,43;Téléphone;Litige paiement;Oui;Non;Oui;7;Non
CNT-71164;22/12/2023;AG008;319;Non Résolu;5;15,61;Téléphone;Panne compteur;Oui;Oui;Non;;Non
CNT-71165;31/08/2023;AG006;282;Non Résolu;4;33,48;Téléphone;Souscription contrat;Oui;Non;Non Renseigné;9;Oui
CNT-71166;02/01/2023;AG009;207;Non Résolu;4;20,77;Chat;Demande d'information;Oui;Non;Oui;6;Non
CNT-71167;27/07/2023;AG006;54;Résolu;3;23,52;Chat;Litige paiement;Oui;Non;Oui;9;Non
CNT-71168;18/04/2023;AG001;261;Non Résolu;;24,73;Téléphone;Litige paiement;Oui;Non;Oui;;Non
CNT-71169;17/02/2023;AG001;495;En Attente;1;31,11;Email;Litige paiement;Oui;Non;Oui;8;Non
CNT-71170;08/12/2023;AG006;108;Résolu;3;28,02;Chat;Résiliation;Oui;Non;Oui;;Non
CNT-71171;15/01/2023;AG007;130;En Attente;4;20,32;Téléphone;Relevé compteur;Non;Non;Non Renseigné;5;Non
CNT-71172;19/02/2023;AG006;282;En Attente;3;43,55;Téléphone;Facturation;Oui;Non;Oui;8;Non
CNT-71173;20/03/2023;AG008;130;Résolu;5;15,27;Email;Panne compteur;yes;Oui;Oui;;Non
CNT-71174;06/11/2023;AG002;329;En Attente;4;27,26;Téléphone;Changement d'offre;Oui;Non;Oui;8;Non
CNT-71175;22/04/2023;AG002;275;En Attente;4;;Email;Déménagement;Oui;Oui;Oui;10;Non
CNT-71176;14/04/2023;AG007;328;Résolu;2;24,5;Réseaux Sociaux;Résiliation;Oui;Non;Oui;5;Non
CNT-71177;07/06/2023;AG001;131;Résolu;5;34,68;Téléphone;Relevé compteur;yes;Non;Oui;6;Non
CNT-71178;26/05/2023;AG004;351;Résolu;5;20,31;Téléphone;Déménagement;Oui;Non;Oui;0;Non
CNT-71179;02/05/2023;AG008;108;Résolu;4;11,09;Chat;Souscription contrat;Non;Non;Oui;9;Non
CNT-71180;18/02/2023;AG001;320;En Attente;5;14,16;Téléphone;Litige paiement;Oui;Non;Oui;;Non
CNT-71181;01/01/2023;AG007;446;Résolu;5;16,76;Email;Panne compteur;Oui;Non;Oui;3;Non
CNT-71182;01/12/2023;AG001;321;Résolu;3;16,09;Téléphone;Déménagement;Oui;Non;Oui;10;Non
CNT-71183;29/08/2023;AG007;227;Résolu;4;46,84;Réseaux Sociaux;Déménagement;Oui;Non;Oui;5;Non
CNT-71184;03/11/2023;AG008;441;Résolu;5;13,52;Email;Réclamation;Oui;Non;Non;9;Non
CNT-71185;20/06/2023;AG001;279;Résolu;;20,03;Réseaux Sociaux;Résiliation;Oui;Oui;Oui;;Non
CNT-71186;05/07/2023;AG002;166;Résolu;5;14,29;Email;Facturation;Oui;Non;Non Renseigné;8;Non
CNT-71187;20/06/2023;AG005;197;Résolu;4;18,56;Email;Réclamation;Oui;Non;Oui;;Non
CNT-71188;27/11/2023;AG003;194;En Attente;4;31,7;Réseaux Sociaux;Facturation;Oui;Non;Non;;Non
CNT-71189;05/11/2023;AG001;469;Résolu;3;14,02;Chat;Facturation;Oui;Non;Non;7;Non
CNT-71190;23/07/2023;AG006;319;Résolu;4;9,89;Réseaux Sociaux;Changement d'offre;Oui;Non;Oui;6;Non
CNT-71191;08/12/2023;AG003;323;Résolu;5;24,72;Réseaux Sociaux;Facturation;Oui;Non;Oui;7;Oui
CNT-71192;28/03/2023;AG009;;Résolu;4;18,69;Téléphone;Relevé compteur;Oui;Non;Non Renseigné;8;Non
CNT-71193;29/05/2023;AG009;286;Résolu;4;27,71;Téléphone;Facturation;Non;Non;Oui;6;Non
CNT-71194;23/11/2023;AG009;213;En Attente;;30,41;Téléphone;Panne compteur;Oui;Non;Non;;Non
CNT-71195;03/01/2023;AG008;145;Résolu;4;11,19;Téléphone;Litige paiement;Oui;Non;Non;6;Non
CNT-71196;09/04/2023;AG004;295;Résolu;;42,99;Email;Déménagement;Non;Non;Oui;8;Non
CNT-71197;22/09/2023;AG004;438;Résolu;1;20,14;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;;Non
CNT-71198;18/02/2023;AG005;290;En Attente;5;16,8;Téléphone;Déménagement;Oui;Oui;Oui;8;Non
CNT-71199;02/04/2023;AG007;389;Non Résolu;5;36,76;Téléphone;Souscription contrat;Oui;Non;Non Renseigné;9;Non
CNT-71200;29/10/2023;AG009;87;Résolu;5;37,03;Réseaux Sociaux;Changement d'offre;Non;Non;Oui;5;Non
CNT-71201;23/01/2023;AG003;291;Non Résolu;5;49,15;Chat;Relevé compteur;;Non;Oui;;Non
CNT-71202;26/09/2023;AG002;207;En Attente;5;31,22;Téléphone;Réclamation;yes;Non;Oui;;Non
CNT-71203;06/06/2023;AG005;161;Résolu;5;15,98;Chat;Souscription contrat;Oui;Non;Oui;7;Oui
CNT-71204;07/06/2023;AG004;410;Résolu;3;48,08;Email;Changement d'offre;Oui;Non;Non;0;Non
CNT-71205;18/11/2023;AG005;219;Non Résolu;3;49,4;Chat;Réclamation;Oui;Non;Oui;10;Non
CNT-71206;07/05/2023;AG001;319;Résolu;2;;Chat;Panne compteur;Oui;Non;Non Renseigné;;Non
CNT-71207;12/07/2023;AG008;249;Résolu;4;10,45;Chat;Souscription contrat;Oui;Non;Oui;5;Non
CNT-71208;16/04/2023;AG002;335;Résolu;4;19,23;Téléphone;Résiliation;Oui;Oui;Oui;9;Non
CNT-71209;15/09/2023;AG005;389;Résolu;5;29,8;Email;Souscription contrat;Oui;Non;Non Renseigné;5;Non
CNT-71210;08/11/2023;AG008;390;Résolu;5;;Chat;Panne compteur;Oui;Oui;Oui;;Non
CNT-71211;05/07/2023;AG003;112;En Attente;2;15,51;Téléphone;Litige paiement;Oui;Non;Oui;9;Oui
CNT-71212;03/07/2023;AG004;176;Non Résolu;4;29,63;Téléphone;Résiliation;yes;Non;Oui;;Non
CNT-71213;14/07/2023;AG007;208;Non Résolu;3;;Téléphone;Panne compteur;Oui;Non;Oui;;Non
CNT-71214;29/04/2023;AG008;128;Résolu;5;39,06;Réseaux Sociaux;Résiliation;Oui;Non;Oui;5;Non
CNT-71215;15/11/2023;AG001;257;En Attente;4;23,83;Téléphone;Facturation;Oui;Oui;Non Renseigné;8;Oui
CNT-71216;14/08/2023;AG003;204;En Attente;4;32,11;Email;Réclamation;Oui;Oui;Oui;7;Non
CNT-71217;31/03/2023;AG005;157;Non Résolu;4;38,79;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;8;Non
CNT-71218;21/06/2023;AG004;531;Résolu;3;14,7;Chat;Changement d'offre;yes;Non;Oui;7;Oui
CNT-71219;08/07/2023;AG005;67;En Attente;4;46,5;Téléphone;Demande d'information;Oui;Oui;Oui;9;Non
CNT-71220;06/06/2023;AG003;280;En Attente;5;9,72;Téléphone;Déménagement;Oui;Non;Oui;;Non
CNT-71221;07/05/2023;AG006;308;Non Résolu;4;31,02;Téléphone;Demande d'information;Oui;Non;Oui;8;Non
CNT-71222;13/11/2023;AG002;384;Résolu;;25,69;Chat;Résiliation;Oui;Non;Oui;6;Non
CNT-71223;09/03/2023;AG001;306;Non Résolu;4;22,11;Email;Souscription contrat;Oui;Non;Oui;;Non
CNT-71224;29/05/2023;AG005;143;En Attente;;23,64;Téléphone;Souscription contrat;yes;Non;Non;7;Oui
CNT-71225;13/06/2023;AG009;247;Résolu;4;44,16;Email;Déménagement;Oui;Non;Oui;8;Non
CNT-71226;06/10/2023;AG006;234;Non Résolu;;49,88;Chat;Souscription contrat;Oui;Non;Oui;;Non
CNT-71227;15/01/2023;AG002;162;Résolu;4;16,11;Téléphone;Facturation;yes;Non;Oui;;Non
CNT-71228;25/08/2023;AG006;336;Résolu;4;40,48;Email;Demande d'information;Oui;Oui;Oui;7;Non
CNT-71229;18/07/2023;AG005;383;Résolu;3;29,27;Email;Souscription contrat;Oui;Non;Oui;10;Non
CNT-71230;22/04/2023;AG006;205;Résolu;5;27,44;Chat;Demande d'information;Non;Non;Oui;8;Non
CNT-71231;19/12/2023;AG001;120;Résolu;4;46,78;Réseaux Sociaux;Changement d'offre;Oui;Non;Oui;6;Non
CNT-71232;05/04/2023;AG005;201;Non Résolu;4;;Chat;Changement d'offre;Oui;Non;Oui;8;Non
CNT-71233;10/08/2023;AG009;267;Résolu;2;25,72;Réseaux Sociaux;Demande d'information;Oui;Non;Non Renseigné;7;Non
CNT-71234;19/06/2023;AG007;306;En Attente;3;33,57;Chat;Facturation;Oui;Non;Oui;9;Non
CNT-71235;06/03/2023;AG003;251;Résolu;5;35,06;Téléphone;Réclamation;Oui;Non;Oui;8;Non
CNT-71236;07/10/2023;AG009;355;Non Résolu;5;35,04;Chat;Panne compteur;Oui;Non;Oui;8;Non
CNT-71237;31/10/2023;AG006;335;Non Résolu;4;18,72;Téléphone;Déménagement;Oui;Non;Non;10;Non
CNT-71238;15/03/2023;AG004;297;En Attente;3;39,42;Téléphone;Panne compteur;Oui;Non;Oui;;Non
CNT-71239;09/12/2023;AG003;320;Résolu;4;49,86;Chat;Demande d'information;Oui;Non;Oui;;Non
CNT-71240;20/08/2023;AG009;309;Non Résolu;2;48,01;Téléphone;Facturation;;Non;Oui;10;Non
CNT-71241;07/11/2023;AG006;305;Résolu;4;15,2;Chat;Réclamation;;Non;Oui;6;Non
CNT-71242;06/06/2023;AG002;530;Résolu;4;22,5;Téléphone;Panne compteur;Oui;Oui;Non;;Non
CNT-71243;27/12/2023;AG002;252;Résolu;3;43,42;Téléphone;Souscription contrat;Non;Non;Oui;2;Non
CNT-71244;12/05/2023;AG007;339;En Attente;4;49,88;Téléphone;Déménagement;Oui;Non;Non Renseigné;;Non
CNT-71245;17/07/2023;AG008;353;Non Résolu;2;19,63;Réseaux Sociaux;Résiliation;Non;Oui;Oui;8;Non
CNT-71246;12/07/2023;AG002;296;Résolu;5;21,83;Chat;Résiliation;Oui;Non;Oui;;Non
CNT-71247;22/05/2023;AG008;426;Résolu;2;15,58;Email;Réclamation;Oui;Oui;Oui;;Non
CNT-71248;21/02/2023;AG006;281;Résolu;;42,82;Email;Souscription contrat;Oui;Non;Non Renseigné;;Non
CNT-71249;26/12/2023;AG009;348;En Attente;5;;Réseaux Sociaux;Réclamation;Oui;Non;Non;;Non
CNT-71250;22/07/2023;AG003;111;Résolu;5;22,84;Chat;Changement d'offre;yes;Non;Non Renseigné;7;Non
CNT-71251;03/12/2023;AG001;284;Résolu;1;24,64;Chat;Réclamation;Non;Non;Oui;3;Non
CNT-71252;27/09/2023;AG008;259;Résolu;4;48,52;Réseaux Sociaux;Panne compteur;Non;Oui;Oui;;Non
CNT-71253;29/05/2023;AG006;276;Résolu;5;25,22;Réseaux Sociaux;Litige paiement;Non;Oui;Oui;7;Oui
CNT-71254;20/04/2023;AG002;180;En Attente;3;20,74;Réseaux Sociaux;Panne compteur;Oui;Oui;Oui;;Oui
CNT-71255;17/01/2023;AG008;268;Résolu;2;12,61;Réseaux Sociaux;Litige paiement;Oui;Non;Oui;;Oui
CNT-71256;13/04/2023;AG001;286;Non Résolu;3;45,99;Téléphone;Réclamation;Oui;Oui;Non Renseigné;;Non
CNT-71257;19/02/2023;AG004;365;Non Résolu;4;37,22;Téléphone;Litige paiement;Oui;Non;Oui;;Non
CNT-71258;02/07/2023;AG003;261;Non Résolu;1;35,19;Téléphone;Changement d'offre;Oui;Non;Oui;;Non
CNT-71259;31/05/2023;AG009;308;En Attente;5;32,63;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
CNT-71260;14/01/2023;AG002;381;En Attente;4;35,43;Email;Demande d'information;Oui;Non;Oui;3;Non
CNT-71261;19/11/2023;AG002;254;Résolu;4;41,85;Téléphone;Litige paiement;Oui;Non;Oui;;Oui
CNT-71262;24/03/2023;AG006;199;Non Résolu;4;35,66;Téléphone;Panne compteur;Oui;Non;Oui;;Non
CNT-71263;12/04/2023;AG003;316;Résolu;3;17,19;Réseaux Sociaux;Facturation;Oui;Non;Oui;10;Non
CNT-71264;07/01/2023;AG009;435;En Attente;4;49,89;Email;Réclamation;Oui;Non;Non;7;Non
CNT-71265;05/03/2023;AG001;342;Résolu;5;10,25;Chat;Litige paiement;Oui;Non;Oui;;Non
CNT-71266;27/04/2023;AG003;379;Résolu;4;43,61;Chat;Déménagement;Oui;Oui;Oui;6;Non
CNT-71267;26/04/2023;AG009;222;Non Résolu;4;39,22;Réseaux Sociaux;Facturation;Oui;Non;Oui;;Non
CNT-71268;19/11/2023;AG004;229;Résolu;5;;Téléphone;Changement d'offre;Oui;Non;Oui;;Oui
CNT-71269;08/03/2023;AG009;328;En Attente;5;12,61;Email;Litige paiement;Oui;Non;Oui;7;Non
CNT-71270;02/08/2023;AG005;352;Résolu;5;22,93;Email;Souscription contrat;Oui;Non;Oui;10;Non
CNT-71271;06/05/2023;AG005;366;Résolu;5;24,58;Email;Réclamation;Oui;Non;Oui;;Oui
CNT-71272;05/05/2023;AG002;187;En Attente;1;10,6;Téléphone;Litige paiement;Oui;Oui;Oui;2;Non
CNT-71273;25/01/2023;AG003;364;En Attente;3;39,45;Téléphone;Souscription contrat;Non;Non;Oui;0;Non
CNT-71274;02/07/2023;AG001;381;En Attente;5;;Email;Litige paiement;Oui;Non;Oui;;Non
CNT-71275;09/06/2023;AG005;167;Non Résolu;5;38,01;Téléphone;Résiliation;Oui;Oui;Oui;;Non
CNT-71276;10/02/2023;AG002;411;Résolu;4;32,82;Téléphone;Relevé compteur;Oui;Non;Oui;6;Non
CNT-71277;21/03/2023;AG005;278;Non Résolu;1;20,75;Réseaux Sociaux;Résiliation;Oui;Non;Oui;5;Non
CNT-71278;03/06/2023;AG004;319;Non Résolu;5;9,52;Email;Déménagement;Oui;Non;Oui;;Non
CNT-71279;29/12/2023;AG001;415;Résolu;;45,97;Chat;Litige paiement;Oui;Non;Oui;;Non
CNT-71280;07/02/2023;AG004;368;Résolu;4;45,19;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;2;Non
CNT-71281;27/10/2023;AG005;273;Résolu;5;27,24;Chat;Déménagement;Non;Non;Non Renseigné;;Non
CNT-71282;06/12/2023;AG005;;Non Résolu;4;27,43;Email;Réclamation;Oui;Non;Oui;10;Non
CNT-71283;31/05/2023;AG008;;Non Résolu;4;45,7;Email;Litige paiement;Non;Oui;Oui;;Non
CNT-71284;08/08/2023;AG003;221;Non Résolu;4;34,02;Chat;Déménagement;Oui;Oui;Oui;7;Non
CNT-71285;14/02/2023;AG009;289;En Attente;4;49,83;Téléphone;Déménagement;Oui;Non;Oui;5;Non
CNT-71286;29/05/2023;AG001;394;Non Résolu;5;40,53;Téléphone;Changement d'offre;yes;Non;Non;;Non
CNT-71287;28/04/2023;AG005;305;En Attente;4;23,36;Email;Demande d'information;Oui;Non;Non;;Non
CNT-71288;06/03/2023;AG001;401;En Attente;4;;Téléphone;Litige paiement;Oui;Non;Non Renseigné;8;Non
CNT-71289;26/05/2023;AG002;179;Non Résolu;5;29,5;Téléphone;Réclamation;Oui;Non;Oui;4;Non
CNT-71290;25/05/2023;AG008;429;Résolu;3;40,88;Téléphone;Réclamation;Oui;Non;Oui;1;Non
CNT-71291;10/08/2023;AG001;316;Résolu;4;20,13;Téléphone;Panne compteur;;Non;Oui;9;Non
CNT-71292;01/03/2023;AG004;214;En Attente;5;;Chat;Demande d'information;yes;Non;Oui;5;Non
CNT-71293;20/07/2023;AG007;183;Non Résolu;4;29,81;Téléphone;Déménagement;Oui;Non;Non Renseigné;7;Non
CNT-71294;29/10/2023;AG005;342;Résolu;4;11,19;Chat;Changement d'offre;Oui;Non;Non Renseigné;8;Non
CNT-71295;25/12/2023;AG008;70;Résolu;5;29,9;Réseaux Sociaux;Panne compteur;Oui;Non;Oui;;Non
CNT-71296;09/08/2023;AG004;317;Non Résolu;;26,32;Réseaux Sociaux;Déménagement;Oui;Non;Oui;7;Non
CNT-71297;05/11/2023;AG007;39;Résolu;3;20,65;Email;Facturation;Oui;Oui;Non;7;Non
CNT-71298;06/12/2023;AG009;311;Non Résolu;1;31,09;Réseaux Sociaux;Réclamation;Non;Non;Oui;;Non
CNT-71299;27/03/2023;AG009;282;Résolu;4;44,93;Téléphone;Déménagement;Oui;Oui;Non;;Non
CNT-71300;26/08/2023;AG003;;Non Résolu;4;27,74;Réseaux Sociaux;Facturation;Oui;Non;Oui;7;Non
CNT-71301;24/05/2023;AG007;152;Résolu;;9,33;Téléphone;Facturation;Oui;Non;Oui;9;Non
CNT-71302;14/01/2023;AG002;54;Résolu;4;36,46;Chat;Déménagement;Oui;Non;Oui;7;Non
CNT-71303;23/07/2023;AG008;170;Non Résolu;5;47,47;Chat;Relevé compteur;Oui;Non;Oui;8;Non
CNT-71304;26/02/2023;AG005;234;En Attente;4;27,21;Téléphone;Déménagement;Oui;Non;Non Renseigné;7;Non
CNT-71305;29/06/2023;AG006;199;Non Résolu;;27,66;Réseaux Sociaux;Relevé compteur;Oui;Non;Oui;9;Non
CNT-71306;26/03/2023;AG007;229;Résolu;4;10,11;Email;Changement d'offre;Oui;Oui;Non Renseigné;5;Non
CNT-71307;28/10/2023;AG005;408;Résolu;5;38,11;Réseaux Sociaux;Demande d'information;Oui;Non;Non;2;Non
CNT-71308;03/10/2023;AG006;263;Résolu;5;32,83;Email;Souscription contrat;yes;Non;Oui;;Oui
CNT-71309;01/02/2023;AG009;362;Résolu;4;15,68;Chat;Relevé compteur;Oui;Non;Oui;8;Non
CNT-71310;10/09/2023;AG008;189;Résolu;4;26,66;Chat;Litige paiement;Oui;Non;Oui;4;Non
CNT-71311;28/04/2023;AG001;185;Résolu;5;47,05;Email;Panne compteur;Oui;Non;Oui;;Non
CNT-71312;26/03/2023;AG009;121;Non Résolu;5;19,91;Chat;Panne compteur;Oui;Non;Oui;;Non
CNT-71313;26/11/2023;AG006;269;Résolu;4;24,74;Chat;Panne compteur;Oui;Non;Oui;8;Non
CNT-71314;27/07/2023;AG001;160;Résolu;4;25,09;Chat;Changement d'offre;Oui;Non;Oui;7;Non
CNT-71315;23/09/2023;AG005;464;Non Résolu;3;32,15;Chat;Facturation;Oui;Non;Oui;9;Non
CNT-71316;02/01/2023;AG003;;Résolu;3;10;Email;Réclamation;Oui;Non;Oui;8;Oui
CNT-71317;24/06/2023;AG007;248;En Attente;4;19,3;Téléphone;Résiliation;Oui;Non;Oui;2;Non
CNT-71318;29/03/2023;AG001;233;Non Résolu;;;Email;Réclamation;Non;Non;Oui;;Non
CNT-71319;27/01/2023;AG006;193;Non Résolu;3;40,69;Chat;Réclamation;Non;Non;Non Renseigné;6;Non
CNT-71320;27/02/2023;AG001;337;En Attente;5;43,95;Réseaux Sociaux;Réclamation;Oui;Oui;Oui;7;Non
CNT-71321;09/03/2023;AG008;411;En Attente;5;20,56;Chat;Déménagement;Oui;Non;Non Renseigné;9;Non
