Reference_Dossier;Date;ID Agent;Durée_Traitement_Sec;Dossier_Cloture;Note_Satisfaction_Client;Prix_Prestation;Type_Contact;Objet;Traite;Appel Repris;Conforme;NPS;Réclammation
DOS50498;16/02/2023;AG011;120;Oui;4;51,9;Chat;Souscription contrat;Oui;Non;Oui;;Oui
DOS50499;14/03/2023;AG003;606;Oui;4;23,07;Courrier;Souscription contrat;Non;Non;Non;;Oui
DOS50500;22/02/2023;AG003;240;Non;5;22,46;Téléphone;Demande d'information;Non;Non;Non Renseigné;4;Oui
DOS50501;06/01/2023;AG012;126;Oui;;17,55;Téléphone;Demande d'information;Non;Non;Non;;Non
DOS50502;03/02/2023;AG025;336;Non;5;49,04;Courrier;Souscription contrat;Oui;Non;Oui;;Oui
DOS50503;17/12/2023;AG011;444;Non;5;47,74;Courrier;Panne compteur;Oui;Non;Oui;;Non
DOS50504;25/09/2023;AG019;360;Non;4;15,58;Courrier;Litige paiement;Oui;Non;Oui;;Non
DOS50505;24/11/2023;AG019;102;Non;5;51,36;Email;Déménagement;Oui;Non;Oui;;Oui
DOS50506;13/01/2023;AG012;114;Oui;5;25,02;Chat;Résiliation;Non;Non;Oui;3;Non
DOS50507;24/08/2023;AG011;132;Non;3;31,81;Téléphone;Relevé compteur;Non;Non;Oui;;Oui
DOS50508;25/06/2023;AG011;228;Non;4;46,4;Courrier;Relevé compteur;Non;Oui;Non;9;Non
DOS50509;05/05/2023;AG011;150;Oui;4;47,87;Courrier;Facturation;Non;Non;Oui;6;Oui
DOS50510;04/02/2023;AG012;276;Non;4;49,57;Chat;Déménagement;Oui;Non;Oui;;Non
DOS50511;06/07/2023;AG003;84;Oui;5;14,26;Courrier;Litige paiement;Oui;Non;Non Renseigné;;Non
DOS50512;04/05/2023;AG025;282;Oui;4;41,18;Email;Panne compteur;Non;Non;Oui;8;Non
DOS50513;15/01/2023;AG008;354;Non;;37,05;Téléphone;Changement d'offre;Oui;Non;Oui;7;Non
DOS50514;09/03/2023;AG025;444;Oui;4;16,37;Chat;Facturation;Oui;Non;Oui;6;Oui
DOS50515;06/04/2023;AG003;330;Non;4;26,92;Courrier;Litige paiement;Non;Non;Oui;8;Non
DOS50516;23/11/2023;AG007;474;Non;3;21,31;Courrier;Facturation;Oui;Non;Non;;Non
DOS50517;02/09/2023;AG025;330;Oui;4;46,53;Email;Souscription contrat;Oui;Non;Oui;4;Oui
DOS50518;01/06/2023;AG012;162;Non;5;44,64;Chat;Changement d'offre;Non;Non;Oui;8;Non
DOS50519;05/11/2023;AG025;264;Oui;3;15,91;Téléphone;Panne compteur;Non;Non;Oui;;Oui
DOS50520;12/05/2023;AG007;222;Oui;5;27,33;Chat;Souscription contrat;Non;Oui;Oui;7;Non
DOS50521;24/07/2023;AG008;312;Oui;4;37,85;Email;Résiliation;Non;Non;Oui;;Non
DOS50522;24/04/2023;AG003;60;Non;5;30,45;Chat;Facturation;Oui;Oui;Oui;7;Oui
DOS50523;03/10/2023;AG011;462;Non;3;21,75;Chat;Réclamation;Oui;Non;Non Renseigné;7;Non
DOS50524;18/05/2023;AG007;384;Oui;;48,57;Téléphone;Litige paiement;Oui;Non;Non Renseigné;6;Oui
DOS50525;19/11/2023;AG012;306;Non;4;18,25;Téléphone;Souscription contrat;Oui;Non;Oui;;Non
DOS50526;05/11/2023;AG019;612;Oui;5;45,57;Chat;Demande d'information;Non;Non;Oui;;Oui
DOS50527;29/09/2023;AG011;528;Oui;5;25,53;Courrier;Réclamation;Non;Non;Oui;10;Oui
DOS50528;20/09/2023;AG007;372;Oui;;40,9;Téléphone;Litige paiement;Oui;Non;Non Renseigné;;Non
DOS50529;16/06/2023;AG007;312;Non;4;18,61;Téléphone;Souscription contrat;Non;Non;Oui;9;Oui
DOS50530;21/05/2023;AG012;276;Oui;3;44,97;Courrier;Facturation;Non;Non;Non;;Non
DOS50531;06/10/2023;AG019;264;Non;;24,7;Courrier;Déménagement;Oui;Non;Oui;7;Non
DOS50532;25/04/2023;AG003;222;Non;4;30,15;Email;Litige paiement;Non;Non;Non;4;Oui
DOS50533;04/10/2023;AG012;222;Oui;3;51,58;Chat;Déménagement;Non;Non;Oui;8;Non
DOS50534;01/08/2023;AG007;300;Non;4;29,67;Téléphone;Litige paiement;Oui;Non;Oui;;Non
DOS50535;27/04/2023;AG011;438;Non;3;35,87;Téléphone;Facturation;Oui;Non;Non;;Non
DOS50536;20/11/2023;AG011;294;Oui;3;;Téléphone;Changement d'offre;Non;Oui;Oui;8;Non
DOS50537;06/10/2023;AG011;144;Non;3;12,79;Email;Demande d'information;Non;Non;Oui;;Non
DOS50538;19/06/2023;AG019;270;Non;4;41,4;Chat;Résiliation;Oui;Non;Oui;5;Oui
DOS50539;19/09/2023;AG012;186;Oui;5;21,82;Téléphone;Résiliation;Oui;Non;Oui;9;Non
DOS50540;11/09/2023;AG007;498;Oui;4;50,21;Courrier;Litige paiement;Oui;Non;Oui;;Non
DOS50541;01/04/2023;AG012;66;Oui;4;26,02;Email;Changement d'offre;Non;Non;Oui;4;Non
DOS50542;03/04/2023;AG007;306;Non;4;44,11;Email;Litige paiement;Non;Oui;Non;10;Non
DOS50543;07/11/2023;AG007;180;Non;5;16,72;Chat;Panne compteur;Non;Non;Non Renseigné;;Oui
DOS50544;24/07/2023;AG025;276;Non;;13,44;Téléphone;Panne compteur;Non;Non;Oui;6;Non
DOS50545;02/12/2023;AG019;306;Oui;5;32,77;Téléphone;Relevé compteur;Oui;Non;Oui;;Oui
DOS50546;25/12/2023;AG003;408;Non;;;Téléphone;Panne compteur;Non;Non;Non;8;Oui
DOS50547;07/04/2023;AG012;252;Non;4;31,52;Chat;Demande d'information;Non;Non;Non;;Non
DOS50548;13/06/2023;AG008;300;Oui;;13,74;Chat;Relevé compteur;Non;Non;Non;9;Non
DOS50549;11/04/2023;AG012;;Oui;4;50,39;Email;Panne compteur;Oui;Non;Oui;;Oui
DOS50550;22/07/2023;AG003;462;Oui;3;48,46;Email;Demande d'information;Oui;Non;Oui;5;Oui
DOS50551;09/08/2023;AG025;462;Non;5;44,33;Téléphone;Résiliation;Non;Non;Oui;;Non
DOS50552;05/04/2023;AG011;570;Oui;3;41,6;Chat;Facturation;Oui;Non;Non;10;Oui
DOS50553;14/12/2023;AG003;198;Non;5;34,05;Téléphone;Déménagement;Oui;Non;Non Renseigné;6;Oui
DOS50554;15/10/2023;AG025;576;Oui;4;35,97;Courrier;Panne compteur;Non;Non;Oui;7;Non
DOS50555;20/10/2023;AG008;270;Oui;3;39,69;Téléphone;Demande d'information;Oui;Oui;Oui;6;Non
DOS50556;25/02/2023;AG007;492;Non;4;39,64;Courrier;Demande d'information;Oui;Non;Oui;;Non
DOS50557;01/10/2023;AG019;402;Non;5;34,35;Email;Résiliation;Oui;Oui;Non;;Oui
DOS50558;23/10/2023;AG011;246;Oui;5;22,39;Chat;Changement d'offre;Oui;Non;Oui;8;Non
DOS50559;04/01/2023;AG003;540;Oui;4;12,06;Courrier;Panne compteur;Non;Non;Oui;;Oui
DOS50560;27/01/2023;AG011;558;Non;2;53,8;Courrier;Panne compteur;Oui;Non;Oui;;Non
DOS50561;30/01/2023;AG003;474;Non;4;27,54;Téléphone;Réclamation;Oui;Non;Non;6;Oui
DOS50562;10/04/2023;AG003;162;Oui;;;Chat;Résiliation;Oui;Non;Oui;10;Oui
DOS50563;18/07/2023;AG008;258;Non;5;45,23;Email;Réclamation;Oui;Non;Non;7;Oui
DOS50564;27/05/2023;AG011;384;Non;2;41,57;Courrier;Résiliation;Non;Non;Oui;;Non
DOS50565;19/11/2023;AG003;138;Non;3;32,26;Courrier;Réclamation;Non;Non;Oui;10;Oui
DOS50566;21/08/2023;AG025;294;Non;4;24,25;Téléphone;Réclamation;Oui;Non;Non;;Oui
DOS50567;10/06/2023;AG012;438;Oui;3;50,53;Email;Demande d'information;Oui;Non;Non;;Non
DOS50568;02/09/2023;AG011;294;Non;5;13,12;Email;Changement d'offre;Oui;Non;Oui;;Non
DOS50569;29/08/2023;AG012;330;Non;5;15,87;Chat;Litige paiement;Non;Non;Non;7;Oui
DOS50570;21/03/2023;AG025;66;Oui;;50,21;Chat;Facturation;Oui;Non;Oui;5;Non
DOS50571;29/07/2023;AG025;426;Non;4;31,48;Téléphone;Relevé compteur;Non;Non;Oui;9;Oui
DOS50572;31/10/2023;AG011;360;Non;1;48,53;Chat;Litige paiement;Oui;Non;Oui;4;Non
DOS50573;29/11/2023;AG011;294;Oui;4;48,28;Chat;Facturation;Oui;Non;Oui;9;Oui
DOS50574;18/12/2023;AG007;492;Oui;4;19,71;Courrier;Souscription contrat;Non;Non;Oui;;Non
DOS50575;10/04/2023;AG008;318;Non;;36,65;Chat;Facturation;Non;Non;Oui;;Non
DOS50576;11/10/2023;AG012;306;Oui;2;13,71;Courrier;Souscription contrat;Non;Non;Oui;;Oui
DOS50577;15/03/2023;AG003;486;Non;4;44,81;Téléphone;Relevé compteur;Non;Non;Oui;;Non
DOS50578;14/07/2023;AG008;366;Non;2;15,68;Chat;Panne compteur;Oui;Non;Oui;5;Non
DOS50579;28/06/2023;AG007;180;Non;5;52,72;Email;Déménagement;Non;Non;Oui;;Non
DOS50580;05/08/2023;AG025;198;Oui;;17,55;Chat;Changement d'offre;Oui;Non;Oui;8;Non
DOS50581;09/02/2023;AG003;222;Non;;52,68;Téléphone;Litige paiement;Non;Non;Oui;8;Oui
DOS50582;25/04/2023;AG019;432;Non;3;33,47;Courrier;Facturation;Non;Non;Oui;6;Oui
DOS50583;03/07/2023;AG007;420;Non;;32,41;Téléphone;Changement d'offre;Oui;Oui;Non Renseigné;3;Oui
DOS50584;30/03/2023;AG012;330;Oui;5;22,62;Téléphone;Souscription contrat;Non;Non;Oui;;Oui
DOS50585;10/09/2023;AG007;198;Non;5;54,02;Téléphone;Facturation;Oui;Non;Oui;7;Non
DOS50586;19/01/2023;AG011;264;Oui;2;18,51;Téléphone;Litige paiement;Oui;Non;Oui;;Non
DOS50587;16/12/2023;AG011;474;Oui;;45,77;Téléphone;Changement d'offre;Non;Non;Oui;;Non
DOS50588;10/05/2023;AG025;288;Oui;;21,1;Email;Panne compteur;Oui;Non;Oui;7;Oui
DOS50589;19/08/2023;AG025;282;Non;4;35,95;Chat;Résiliation;Oui;Non;Oui;6;Non
DOS50590;20/09/2023;AG003;234;Non;;15,64;Chat;Litige paiement;Non;Non;Non;;Oui
DOS50591;23/03/2023;AG007;438;Non;4;31,98;Chat;Réclamation;Oui;Non;Oui;4;Non
DOS50592;29/06/2023;AG007;216;Non;;21,46;Email;Relevé compteur;Oui;Non;Non;6;Non
DOS50593;27/04/2023;AG011;396;Oui;2;52,73;Téléphone;Souscription contrat;Non;Non;Oui;9;Oui
DOS50594;25/12/2023;AG003;252;Non;1;21,12;Courrier;Changement d'offre;Non;Non;Non;;Oui
DOS50595;29/11/2023;AG019;372;Non;3;26,63;Chat;Déménagement;Oui;Oui;Oui;8;Non
DOS50596;16/06/2023;AG019;342;Non;2;45,93;Email;Relevé compteur;Non;Non;Oui;0;Non
DOS50597;20/10/2023;AG003;300;Non;5;43,13;Email;Litige paiement;Non;Non;Oui;6;Oui
DOS50598;28/11/2023;AG025;270;Oui;1;49,46;Téléphone;Relevé compteur;Non;Non;Oui;3;Oui
DOS50599;27/03/2023;AG008;354;Oui;;23,71;Chat;Relevé compteur;Non;Oui;Non;;Non
DOS50600;10/05/2023;AG012;342;Oui;4;40,11;Chat;Relevé compteur;Oui;Non;Oui;7;Oui
DOS50601;30/08/2023;AG019;240;Non;4;16,08;Chat;Changement d'offre;Non;Non;Oui;;Oui
DOS50602;11/12/2023;AG011;450;Non;5;21,16;Courrier;Souscription contrat;Non;Non;Oui;;Oui
DOS50603;29/10/2023;AG025;420;Non;;15,39;Téléphone;Résiliation;Non;Non;Oui;3;Non
DOS50604;04/12/2023;AG011;198;Non;4;22,09;Courrier;Litige paiement;Oui;Non;Oui;;Non
DOS50605;25/12/2023;AG025;210;Non;4;20,29;Chat;Résiliation;Non;Oui;Oui;4;Oui
DOS50606;01/07/2023;AG007;96;Non;;47,27;Courrier;Souscription contrat;Non;Non;Oui;;Non
DOS50607;10/04/2023;AG012;408;Oui;5;19,91;Chat;Résiliation;Oui;Non;Non Renseigné;8;Non
DOS50608;14/11/2023;AG007;276;Non;5;32,71;Téléphone;Facturation;Oui;Non;Oui;5;Non
DOS50609;14/09/2023;AG008;312;Non;1;14,4;Courrier;Réclamation;Oui;Non;Oui;6;Non
DOS50610;30/09/2023;AG007;210;Oui;4;37,48;Courrier;Panne compteur;Non;Oui;Non;6;Non
DOS50611;26/05/2023;AG025;312;Oui;5;44,63;Téléphone;Panne compteur;Non;Non;Oui;;Oui
DOS50612;02/03/2023;AG007;348;Non;5;47,01;Téléphone;Litige paiement;Oui;Non;Non;9;Non
DOS50613;16/03/2023;AG011;156;Oui;3;45,03;Téléphone;Réclamation;Oui;Non;Oui;6;Non
DOS50614;15/07/2023;AG012;342;Oui;4;52,32;Email;Résiliation;Non;Non;Oui;2;Oui
DOS50615;24/07/2023;AG007;336;Oui;;29,44;Téléphone;Réclamation;Oui;Oui;Non;;Oui
DOS50616;19/07/2023;AG007;480;Oui;4;41,98;Email;Facturation;Oui;Non;Oui;8;Non
DOS50617;08/02/2023;AG008;354;Oui;4;54,81;Email;Facturation;Non;Non;Non;7;Oui
DOS50618;09/02/2023;AG008;198;Oui;4;21,57;Email;Relevé compteur;Oui;Non;Oui;7;Non
DOS50619;08/02/2023;AG011;204;Oui;4;42,49;Courrier;Panne compteur;Oui;Non;Oui;;Non
DOS50620;04/04/2023;AG007;336;Non;;41,82;Chat;Souscription contrat;Non;Non;Oui;;Oui
DOS50621;20/06/2023;AG008;270;Non;4;22,78;Téléphone;Changement d'offre;Non;Non;Non Renseigné;;Oui
DOS50622;17/10/2023;AG008;396;Oui;;44,77;Email;Demande d'information;Non;Non;Oui;;Non
DOS50623;09/08/2023;AG019;150;Oui;5;49,69;Chat;Résiliation;Non;Non;Non Renseigné;;Non
DOS50624;08/02/2023;AG012;414;Oui;5;46,77;Email;Changement d'offre;Oui;Non;Oui;2;Non
DOS50625;01/12/2023;AG012;330;Oui;5;50,47;Courrier;Litige paiement;Oui;Non;Non;10;Oui
DOS50626;21/12/2023;AG011;486;Oui;4;17,47;Email;Litige paiement;Oui;Non;Oui;10;Oui
DOS50627;15/02/2023;AG019;294;Oui;4;29,03;Téléphone;Litige paiement;Non;Non;Oui;8;Oui
DOS50628;02/06/2023;AG019;198;Oui;5;17,3;Téléphone;Changement d'offre;Non;Non;Oui;9;Oui
DOS50629;06/04/2023;AG025;192;Non;5;46,65;Téléphone;Déménagement;Non;Non;Oui;9;Non
DOS50630;16/11/2023;AG007;354;Oui;5;22,93;Courrier;Litige paiement;Oui;Non;Non;;Non
DOS50631;21/01/2023;AG012;168;Oui;3;23,14;Chat;Litige paiement;Oui;Non;Oui;0;Non
DOS50632;19/09/2023;AG025;570;Oui;5;17,22;Téléphone;Litige paiement;Oui;Non;Non;;Oui
DOS50633;18/06/2023;AG012;294;Non;4;19,55;Chat;Déménagement;Oui;Non;Non Renseigné;9;Oui
DOS50634;09/12/2023;AG011;498;Non;4;22,39;Téléphone;Litige paiement;Oui;Non;Oui;8;Non
DOS50635;21/02/2023;AG012;;Oui;4;33,09;Chat;Souscription contrat;Oui;Non;Non;7;Oui
DOS50636;11/04/2023;AG025;24;Non;4;17,89;Email;Réclamation;Oui;Non;Oui;;Oui
DOS50637;23/11/2023;AG025;222;Oui;;41,57;Courrier;Résiliation;Oui;Non;Non Renseigné;6;Non
DOS50638;19/08/2023;AG011;360;Oui;3;47,76;Courrier;Changement d'offre;Oui;Non;Non;;Non
DOS50639;16/04/2023;AG007;324;Non;5;31,93;Téléphone;Déménagement;Non;Oui;Oui;;Non
DOS50640;22/11/2023;AG025;240;Non;2;34,02;Chat;Changement d'offre;Non;Oui;Oui;;Oui
DOS50641;18/05/2023;AG007;360;Non;5;24;Téléphone;Facturation;Oui;Non;Oui;4;Oui
DOS50642;20/06/2023;AG012;282;Non;5;17,63;Courrier;Litige paiement;Non;Non;Oui;8;Non
DOS50643;22/04/2023;AG019;168;Oui;4;42,06;Téléphone;Réclamation;Non;Non;Non;;Non
DOS50644;27/05/2023;AG003;522;Oui;5;18,29;Courrier;Changement d'offre;Non;Non;Oui;;Oui
DOS50645;05/06/2023;AG008;18;Non;5;18,01;Email;Panne compteur;Oui;Non;Non;;Non
DOS50646;08/05/2023;AG012;342;Oui;5;16,14;Téléphone;Changement d'offre;Non;Non;Non Renseigné;;Non
DOS50647;20/02/2023;AG007;318;Non;;24,29;Email;Relevé compteur;Oui;Non;Oui;;Oui
DOS50648;15/12/2023;AG011;318;Non;1;29,56;Téléphone;Réclamation;Non;Non;Non;;Non
DOS50649;06/06/2023;AG011;438;Oui;4;25,32;Courrier;Demande d'information;Oui;Oui;Non;;Oui
DOS50650;18/12/2023;AG019;186;Non;2;50,05;Chat;Panne compteur;Non;Non;Oui;7;Non
DOS50651;30/09/2023;AG019;180;Oui;5;43,12;Chat;Relevé compteur;Oui;Non;Non;;Oui
DOS50652;21/09/2023;AG025;438;Non;;23,06;Courrier;Réclamation;Oui;Oui;Non;;Oui
DOS50653;30/04/2023;AG008;384;Oui;3;38,58;Courrier;Changement d'offre;Non;Oui;Oui;9;Oui
DOS50654;25/09/2023;AG019;492;Non;3;25,3;Email;Réclamation;Oui;Non;Oui;;Oui
DOS50655;12/02/2023;AG003;288;Non;3;39,66;Chat;Réclamation;Oui;Oui;Non Renseigné;;Non
DOS50656;02/03/2023;AG025;282;Oui;1;14,86;Chat;Réclamation;Non;Non;Oui;;Non
DOS50657;23/11/2023;AG025;426;Oui;3;34,19;Courrier;Souscription contrat;Non;Non;Oui;8;Non
DOS50658;06/01/2023;AG019;468;Oui;4;52,89;Email;Changement d'offre;Non;Non;Oui;8;Non
DOS50659;01/10/2023;AG011;174;Non;1;;Téléphone;Déménagement;Oui;Oui;Non;10;Non
DOS50660;17/04/2023;AG008;564;Non;3;16,45;Courrier;Litige paiement;Non;Non;Non Renseigné;;Oui
DOS50661;12/03/2023;AG007;258;Oui;5;22,9;Courrier;Panne compteur;Non;Non;Oui;8;Non
DOS50662;23/06/2023;AG025;342;Non;5;12,58;Courrier;Panne compteur;Oui;Non;Non;;Non
DOS50663;13/05/2023;AG011;384;Non;;20,8;Courrier;Résiliation;Non;Non;Non Renseigné;;Oui
DOS50664;06/02/2023;AG008;444;Oui;5;48,11;Chat;Facturation;Oui;Non;Oui;4;Non
DOS50665;21/03/2023;AG011;402;Non;5;24,56;Courrier;Panne compteur;Non;Non;Non Renseigné;7;Non
DOS50666;11/10/2023;AG011;;Non;2;41,95;Email;Panne compteur;Non;Non;Oui;6;Oui
DOS50667;16/04/2023;AG007;402;Non;5;37,66;Email;Réclamation;Non;Non;Non Renseigné;;Non
DOS50668;10/04/2023;AG008;270;Oui;5;46,99;Courrier;Résiliation;Non;Non;Oui;;Non
DOS50669;01/11/2023;AG008;246;Oui;3;38,6;Téléphone;Souscription contrat;Non;Non;Oui;;Oui
DOS50670;26/10/2023;AG025;318;Non;4;28,21;Courrier;Réclamation;Oui;Non;Oui;8;Non
DOS50671;16/09/2023;AG025;462;Non;4;51,64;Email;Réclamation;Oui;Non;Non;9;Non
DOS50672;30/06/2023;AG012;378;Non;5;17,99;Email;Litige paiement;Oui;Non;Oui;6;Non
DOS50673;02/10/2023;AG012;258;Non;3;36,95;Email;Changement d'offre;Oui;Non;Oui;9;Non
DOS50674;19/07/2023;AG007;306;Oui;;44,1;Chat;Facturation;Non;Non;Oui;9;Non
DOS50675;28/06/2023;AG012;432;Non;5;46,6;Chat;Souscription contrat;Non;Non;Non Renseigné;;Non
DOS50676;03/03/2023;AG011;348;Non;5;31,21;Téléphone;Déménagement;Oui;Non;Oui;9;Oui
DOS50677;07/09/2023;AG011;330;Non;;19,44;Chat;Demande d'information;Non;Non;Oui;;Oui
DOS50678;24/05/2023;AG003;336;Oui;5;19,95;Email;Relevé compteur;Oui;Oui;Oui;9;Non
DOS50679;03/01/2023;AG012;180;Non;4;13,67;Courrier;Panne compteur;Non;Oui;Non;9;Oui
DOS50680;13/05/2023;AG019;;Non;;50,45;Téléphone;Réclamation;Non;Non;Oui;;Non
DOS50681;08/07/2023;AG019;450;Non;5;15,02;Courrier;Panne compteur;Non;Non;Non Renseigné;9;Oui
DOS50682;13/11/2023;AG012;318;Non;5;19,89;Courrier;Demande d'information;Oui;Non;Non Renseigné;;Oui
DOS50683;27/09/2023;AG011;336;Oui;5;41,2;Chat;Résiliation;Non;Non;Non;7;Oui
DOS50684;14/02/2023;AG003;264;Oui;;49,05;Chat;Relevé compteur;Oui;Non;Oui;;Non
DOS50685;07/04/2023;AG008;492;Non;4;18,48;Chat;Souscription contrat;Oui;Non;Non Renseigné;8;Oui
DOS50686;10/04/2023;AG025;252;Non;3;21,07;Chat;Demande d'information;Oui;Non;Non;5;Non
DOS50687;18/06/2023;AG019;282;Oui;4;22,27;Chat;Demande d'information;Non;Non;Oui;6;Non
DOS50688;14/07/2023;AG003;444;Oui;3;50,64;Téléphone;Facturation;Oui;Oui;Oui;10;Non
DOS50689;25/08/2023;AG011;12;Oui;4;54,9;Email;Panne compteur;Oui;Non;Non;9;Non
DOS50690;20/01/2023;AG007;;Non;3;29,28;Chat;Facturation;Non;Non;Oui;;Non
DOS50691;29/06/2023;AG008;342;Oui;4;39,8;Courrier;Panne compteur;Non;Non;Oui;9;Oui
DOS50692;07/06/2023;AG007;156;Non;4;36,83;Courrier;Litige paiement;Oui;Non;Non Renseigné;10;Oui
DOS50693;18/07/2023;AG008;210;Oui;4;52,14;Chat;Déménagement;Oui;Non;Oui;7;Non
DOS50694;03/06/2023;AG011;138;Oui;5;35,45;Chat;Résiliation;Non;Oui;Non;;Oui
DOS50695;27/08/2023;AG025;324;Oui;4;44,91;Courrier;Relevé compteur;Oui;Non;Oui;6;Oui
DOS50696;06/07/2023;AG008;330;Oui;5;20,4;Email;Demande d'information;Oui;Non;Non Renseigné;;Oui
DOS50697;01/10/2023;AG012;336;Non;5;37,79;Chat;Déménagement;Non;Non;Non;7;Oui
DOS50698;26/01/2023;AG012;282;Non;5;48,24;Email;Facturation;Non;Non;Non;;Oui
DOS50699;22/12/2023;AG003;288;Oui;4;23,12;Chat;Déménagement;Non;Non;Oui;8;Non
DOS50700;20/03/2023;AG025;234;Oui;4;16,42;Courrier;Déménagement;Non;Non;Oui;;Oui
DOS50701;19/04/2023;AG007;270;Oui;5;15,33;Téléphone;Facturation;Oui;Oui;Oui;;Non
DOS50702;02/11/2023;AG008;162;Oui;4;27,53;Email;Souscription contrat;Oui;Non;Oui;10;Oui
DOS50703;07/08/2023;AG008;360;Oui;4;49,07;Chat;Souscription contrat;Non;Non;Non Renseigné;9;Non
DOS50704;07/02/2023;AG019;408;Non;5;33,41;Email;Changement d'offre;Oui;Non;Oui;6;Non
DOS50705;10/03/2023;AG011;294;Non;5;29,15;Téléphone;Réclamation;Non;Non;Oui;;Non
DOS50706;28/08/2023;AG003;288;Non;5;15,85;Chat;Souscription contrat;Non;Oui;Non;;Oui
DOS50707;16/11/2023;AG007;324;Non;5;40,03;Téléphone;Résiliation;Oui;Non;Oui;;Oui
DOS50708;25/06/2023;AG011;486;Oui;3;51,4;Courrier;Changement d'offre;Oui;Non;Oui;;Non
DOS50709;04/10/2023;AG003;306;Non;4;28,7;Courrier;Demande d'information;Oui;Non;Oui;10;Oui
DOS50710;05/01/2023;AG019;312;Non;5;54,21;Courrier;Relevé compteur;Non;Non;Oui;2;Non
DOS50711;15/10/2023;AG012;618;Non;5;47,74;Courrier;Réclamation;Oui;Non;Oui;6;Non
DOS50712;24/11/2023;AG007;288;Oui;5;45,22;Email;Litige paiement;Non;Non;Oui;;Non
DOS50713;23/12/2023;AG011;354;Oui;4;23,42;Chat;Facturation;Oui;Non;Non;8;Oui
DOS50714;24/02/2023;AG008;348;Non;5;23,86;Courrier;Litige paiement;Oui;Non;Non;6;Oui
DOS50715;09/09/2023;AG008;270;Non;5;27,08;Courrier;Facturation;Non;Non;Non;6;Non
DOS50716;27/01/2023;AG003;360;Oui;5;26,97;Chat;Changement d'offre;Non;Non;Oui;;Oui
DOS50717;18/10/2023;AG007;144;Non;;40,27;Téléphone;Litige paiement;Oui;Non;Oui;8;Non
DOS50718;11/03/2023;AG019;288;Non;5;47,04;Courrier;Déménagement;Non;Non;Oui;9;Oui
DOS50719;19/12/2023;AG012;204;Non;;50,19;Courrier;Panne compteur;Oui;Non;Oui;7;Non
DOS50720;09/08/2023;AG008;366;Non;2;45,04;Courrier;Réclamation;Oui;Non;Oui;7;Non
DOS50721;16/12/2023;AG003;126;Oui;5;24,42;Téléphone;Souscription contrat;Non;Non;Oui;;Non
DOS50722;22/11/2023;AG007;390;Oui;5;17,8;Chat;Demande d'information;Oui;Non;Oui;;Non
DOS50723;18/03/2023;AG008;12;Oui;4;13,12;Téléphone;Réclamation;Oui;Non;Oui;7;Oui
DOS50724;20/01/2023;AG025;360;Non;4;15,17;Courrier;Déménagement;Non;Non;Oui;;Oui
DOS50725;02/11/2023;AG012;186;Non;5;20,16;Courrier;Souscription contrat;Non;Non;Oui;4;Oui
DOS50726;20/08/2023;AG011;240;Oui;5;20,24;Email;Litige paiement;Oui;Non;Oui;;Non
DOS50727;24/02/2023;AG025;282;Oui;5;51,18;Email;Panne compteur;Oui;Non;Oui;6;Oui
DOS50728;24/04/2023;AG011;498;Non;5;37,31;Téléphone;Litige paiement;Non;Non;Oui;;Oui
DOS50729;21/05/2023;AG025;186;Oui;4;21,61;Email;Souscription contrat;Oui;Non;Oui;9;Oui
DOS50730;12/12/2023;AG019;306;Non;;47,37;Téléphone;Relevé compteur;Oui;Non;Oui;;Oui
DOS50731;31/07/2023;AG008;456;Oui;4;29,46;Email;Relevé compteur;Non;Non;Oui;;Oui
DOS50732;14/11/2023;AG012;312;Oui;5;;Téléphone;Déménagement;Oui;Non;Non Renseigné;9;Oui
DOS50733;13/10/2023;AG019;378;Non;4;44,48;Courrier;Résiliation;Oui;Non;Oui;7;Non
DOS50734;23/07/2023;AG019;438;Oui;;21,06;Chat;Souscription contrat;Non;Non;Oui;8;Oui
DOS50735;25/05/2023;AG007;;Non;3;35,46;Courrier;Demande d'information;Oui;Non;Non;9;Non
DOS50736;29/03/2023;AG011;252;Non;5;52,05;Courrier;Changement d'offre;Non;Oui;Oui;10;Oui
DOS50737;20/08/2023;AG003;186;Oui;3;18,28;Téléphone;Litige paiement;Oui;Oui;Oui;10;Oui
DOS50738;26/07/2023;AG019;456;Oui;5;17,19;Chat;Résiliation;Oui;Non;Non Renseigné;9;Oui
DOS50739;17/11/2023;AG025;522;Non;3;26,02;Chat;Facturation;Non;Non;Non Renseigné;8;Oui
DOS50740;20/06/2023;AG019;156;Oui;5;46,43;Téléphone;Souscription contrat;Oui;Non;Oui;8;Oui
DOS50741;27/10/2023;AG012;342;Oui;5;53,8;Téléphone;Souscription contrat;Oui;Non;Oui;;Oui
DOS50742;24/01/2023;AG025;240;Non;5;31,56;Email;Demande d'information;Non;Non;Non Renseigné;;Oui
DOS50743;25/10/2023;AG007;246;Non;3;44,15;Email;Relevé compteur;Oui;Non;Non;10;Non
DOS50744;03/04/2023;AG008;384;Oui;4;28,82;Courrier;Relevé compteur;Non;Non;Oui;9;Oui
DOS50745;31/01/2023;AG007;318;Non;3;30,07;Chat;Déménagement;Non;Non;Oui;;Non
DOS50746;09/10/2023;AG011;372;Oui;4;53,91;Courrier;Panne compteur;Non;Non;Non;;Oui
DOS50747;10/08/2023;AG008;516;Non;5;41,62;Téléphone;Déménagement;Non;Non;Non;3;Non
